,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.089,1.000,-0.547,0.414,0.372,0.251,0.171,1.218,1.165,1.307,0.419,1,48.188,1
1,0,0.084,1.000,-0.550,0.414,0.374,0.520,0.366,1.215,1.163,0.990,0.320,1,51.812,0
