,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect,reason
0,0,3,4,88,147,6.113,0.641,1.0,0.55,3.017,0.868,0.805,0.626,2.829,18,1.483,0.4,0.359,0.447,1.421,16,3.29,1.217,1.165,1.073,3.101,11,1,DupAV
1,1,9,10,104,127,3.946,0.643,1.0,0.55,2.882,0.865,0.805,0.447,2.696,17,1.4,0.399,0.359,0.54,1.337,12,3.17,1.215,1.164,0.986,2.987,11,1,DupAV
2,1,0,1,98,181,9.626,0.642,1.0,0.55,2.964,0.868,0.806,0.705,2.778,18,1.455,0.4,0.359,0.424,1.395,16,3.257,1.217,1.165,1.128,3.07,11,1,Dup
3,1,1,2,104,281,8.545,0.643,1.0,0.55,2.882,0.865,0.805,0.447,2.696,17,1.4,0.399,0.359,0.54,1.337,12,3.17,1.215,1.164,0.986,2.987,11,1,Dup
4,1,2,3,104,178,6.249,0.643,1.0,0.55,2.882,0.865,0.805,0.447,2.696,17,1.4,0.399,0.359,0.54,1.337,12,3.17,1.215,1.164,0.986,2.987,11,1,Dup
5,1,4,5,87,174,9.215,0.641,1.0,0.549,3.035,0.87,0.807,0.952,2.851,18,1.509,0.4,0.359,0.302,1.453,15,3.325,1.218,1.165,1.254,3.133,11,1,Dup
