Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.532423  0.005303  0.021929
2     1  1  0.004168  0.030168  2.859702
8     1  1 28.552166  0.025046 19.983882
9     1  1 -0.008100  0.017901 22.801733
10    1  1 28.057669 28.083669 26.191991
11    1  1  0.009474  2.884288  0.005799
12    1  1 28.552195  2.880082  2.854099
18    1  1 28.553124  2.877612 19.990062
19    1  1 28.553104  2.860200 22.862377
20    1  1 -0.008095  2.920851 25.704656
21    1  1  0.000984  5.737847  0.000880
29    1  1 28.553126  5.732530 22.844960
30    1  1 28.552173  5.738707 25.697515
81    1  1  0.002320 22.873792 28.549436
82    1  1 -0.000516 22.875796  2.846775
89    1  1 28.552220 22.868470 22.842414
90    1  1  0.004230 22.862851 25.692328
91    1  1 28.499660 25.817857 28.457794
92    1  1  0.002295 25.726226  2.848753
98    1  1  0.000978 25.721683 19.984721
99    1  1  0.009477 25.716752 22.838266
100   1  1 28.532434 25.700603 25.717238
101   1  1  2.858288  0.035474  0.005799
102   1  1  2.854082  0.025075  2.854099
108   1  1  2.851611  0.026004 19.990062
109   1  1  2.834200  0.025984 22.862377
110   1  1  2.894851  0.017906 25.704656
111   1  1  2.835182  2.861182 28.536709
112   1  1  2.851983  2.877983  2.853216
119   1  1  2.824561  2.850561 22.872016
120   1  1  2.834200  2.860200 25.696579
121   1  1  2.853805  5.734517 28.550854
130   1  1  2.851617  5.732526 25.696559
181   1  1  2.854684 22.869888  0.001186
189   1  1  2.852071 22.869399 22.844505
190   1  1  2.854161 22.868475 25.697461
191   1  1  2.863954 25.717069 28.558607
192   1  1  2.854631 25.721397  2.852688
198   1  1  2.853814 25.724844 19.988046
199   1  1  2.835202 25.738983 22.861374
200   1  1  2.858308 25.716755 25.687081
201   1  1  5.711846  0.026984  0.000880
209   1  1  5.706530  0.026007 22.844960
210   1  1  5.712707  0.025053 25.697515
211   1  1  5.708517  2.879805 28.550854
220   1  1  5.706526  2.877617 25.696559
291   1  1  5.714611 25.720329  0.002246
299   1  1  5.708544 25.724845 22.842758
300   1  1  5.711866 25.721690 25.695584
801   1  1 22.847791  0.028320 28.549436
802   1  1 22.849796  0.025485  2.846775
809   1  1 22.842470  0.025101 22.842414
810   1  1 22.836851  0.030231 25.692328
811   1  1 22.843888  2.880684  0.001186
819   1  1 22.843399  2.878071 22.844505
820   1  1 22.842474  2.880161 25.697461
881   1  1 22.851751 22.877752 28.547125
890   1  1 22.849770 22.875771 25.697064
891   1  1 22.846868 25.724086 -0.001540
892   1  1 22.851765 25.728559  2.844795
899   1  1 22.843871 25.721369 22.841880
900   1  1 22.847783 25.726228 25.694235
901   1  1 25.791856 28.525660 28.457794
902   1  1 25.700226  0.028296  2.848753
908   1  1 25.695683  0.026978 19.984721
909   1  1 25.690752  0.035477 22.838266
910   1  1 25.674603  0.005314 25.717238
911   1  1 25.691069  2.889954 28.558607
912   1  1 25.695397  2.880631  2.852688
918   1  1 25.698844  2.879814 19.988046
919   1  1 25.712983  2.861202 22.861374
920   1  1 25.690755  2.884308 25.687081
921   1  1 25.694328  5.740611  0.002246
929   1  1 25.698845  5.734544 22.842758
930   1  1 25.695689  5.737867 25.695584
981   1  1 25.698085 22.872868 -0.001540
982   1  1 25.702559 22.877765  2.844795
989   1  1 25.695369 22.869871 22.841880
990   1  1 25.700228 22.873784 25.694235
991   1  1 25.750366 25.776366 28.499278
992   1  1 25.698079 25.724080  2.849649
998   1  1 25.694314 25.720314 19.981958
999   1  1 25.691057 25.717058 22.832601
1000  1  1 25.791853 25.817853 25.750006
1001  1  1  1.421517  1.447517  1.424407
1002  1  1  1.428575  1.454575  4.284516
1008  1  1  1.424536  1.450536 21.423229
1009  1  1  1.320339  1.346339 24.376231
1010  1  1  1.369746  1.395746 27.089910
1011  1  1  1.430293  4.308394  1.427970
1018  1  1  1.425007  4.299651 21.422931
1019  1  1  1.424543  4.299360 24.272028
1020  1  1  1.427757  4.307620 27.127095
1071  1  1  1.425715 21.443756  1.424184
1079  1  1  1.428760 21.438146 24.267810
1080  1  1  1.428295 21.440463 27.125072
1081  1  1  1.404337 24.321978  1.400578
1082  1  1  1.425673 24.298409  4.278835
1088  1  1  1.430310 24.294606 21.414144
1089  1  1  1.421557 24.298154 24.275010
1090  1  1  1.429539 24.299687 27.130993
1091  1  1  1.429509 27.144670  1.422855
1092  1  1  1.428181 27.150610  4.282141
1098  1  1  1.427755 27.148588 21.414954
1099  1  1  1.369752 27.185762 24.326816
1100  1  1  1.510801 27.146545 27.129120
1101  1  1  4.282394  1.456293  1.427970
1108  1  1  4.273651  1.451007 21.422931
1109  1  1  4.273359  1.450543 24.272028
1110  1  1  4.281620  1.453757 27.127095
