Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     1  1 -0.006507  0.000321  2.849507
3     1  1 -0.000461 -0.000081  5.710284
11    1  1 -0.006507  2.849501  0.000328
12    1  1 28.537592  2.839733  2.839740
13    1  1 28.552603  2.854337  5.709500
21    1  1 -0.000461  5.710277 -0.000074
22    1  1 28.552603  5.709494  2.854343
1812  1  1 24.270958  4.278970  4.278977
101   1  1  2.857549  0.000858  0.000864
1811  1  1 24.268868  4.282791  1.428947
112   1  1  2.854544  2.854811  2.854818
1803  1  1 24.270425  1.427383  7.138395
1802  1  1 24.268868  1.428940  4.282798
1801  1  1 24.311495  1.386313  1.386320
1921  1  1 27.125863  7.138646  1.427527
1912  1  1 27.125358  4.279188  4.279195
1911  1  1 27.127247  4.283143  1.429180
1903  1  1 27.125863  1.427520  7.138653
1902  1  1 27.127247  1.429173  4.283149
1901  1  1 27.084296  1.386974  1.386980
1712  1  1 21.421929  4.275879  4.275886
712   1  1 19.988813  2.853967  2.853973
1711  1  1 21.418838  4.278970  1.426857
801   1  1 22.803152 -0.000005  0.000002
812   1  1 22.858697  2.839111  2.839118
813   1  1 22.843841  2.853967  5.709002
1702  1  1 21.418838  1.426850  4.278977
822   1  1 22.843841  5.708995  2.853973
1701  1  1 21.415017  1.428940  1.428947
1821  1  1 24.270425  7.138388  1.427389
902   1  1 25.697813 -0.000005  2.894663
911   1  1 25.697813  2.894656  0.000002
912   1  1 25.698000  2.848716  2.848723
913   1  1 25.698139  2.854214  5.709608
922   1  1 25.698139  5.709601  2.854221
923   1  1 25.698162  5.708107  5.708113
1001  1  1  1.427671  1.429798  1.429805
1002  1  1  1.424431  1.427423  4.279845
1011  1  1  1.424431  4.279838  1.427430
1012  1  1  1.421563  4.276517  4.276523
1101  1  1  4.283530  1.428284  1.428291
1601  1  1 18.559420  1.427383  1.427389
9     1  1 28.550953  0.000974 22.844298
19    1  1 -0.001453  2.855262 22.844080
20    1  1 -0.016191  2.840566 25.714006
30    1  1 -0.000649  5.710393 25.698464
110   1  1  2.853517  0.000974 25.699982
120   1  1  2.853735  2.855262 25.699268
1930  1  1 27.125810  7.139013 27.125124
1920  1  1 27.127051  4.283608 27.123884
1919  1  1 27.124933  4.280268 24.273613
1910  1  1 27.083885  1.387439 27.167050
1909  1  1 27.126215  1.430159 24.270686
710   1  1 19.987531 -0.000081 25.698276
720   1  1 19.988314  2.854337 25.698331
1830  1  1 24.270288  7.138646 27.125072
810   1  1 22.848307  0.000321 25.704321
819   1  1 22.842997  2.854811 22.843271
820   1  1 22.858075  2.839733 25.713343
830   1  1 22.843471  5.709494 25.698331
1820  1  1 24.268635  4.283143 27.123688
909   1  1 25.696950  0.000858 22.840266
1819  1  1 24.270385  4.279838 24.273384
919   1  1 25.697403  2.855230 22.843207
920   1  1 25.697487  2.849501 25.704321
930   1  1 25.697889  5.710277 25.698276
1009  1  1  1.422675  1.427926 24.275139
1010  1  1  1.427129  1.430159 27.124720
1019  1  1  1.420966  4.277604 24.276849
1020  1  1  1.424202  4.280268 27.126002
1610  1  1 18.559162  1.427520 27.125072
1709  1  1 21.417970  1.427423 24.273384
1710  1  1 21.414665  1.429173 27.123688
1719  1  1 21.421291  4.276517 24.276252
1720  1  1 21.418620  4.279188 27.125577
1808  1  1 24.269524  1.428284 21.414285
1809  1  1 24.268010  1.429798 24.270144
1810  1  1 24.310834  1.386974 27.166639
111   1  1  2.854608  2.855230 28.553531
821   1  1 22.843594  5.709601 28.552796
811   1  1 22.849092  2.848716 28.552935
711   1  1 19.988207  2.854214 28.552796
721   1  1 19.989701  5.708107 28.552773
921   1  1 25.698039  5.713299 28.552896
903   1  1 25.698039 28.552889  5.713306
81    1  1 28.550953 22.844291  0.000980
82    1  1 -0.001453 22.844073  2.855269
92    1  1 -0.016191 25.713999  2.840573
93    1  1 -0.000649 25.698457  5.710400
803   1  1 22.843594 28.552789  5.709608
802   1  1 22.849092 28.552928  2.848723
191   1  1  2.853517 25.699975  0.000980
192   1  1  2.853735 25.699261  2.855269
703   1  1 19.989701 28.552766  5.708113
702   1  1 19.988207 28.552789  2.854221
1982  1  1 27.124933 24.273606  4.280275
1981  1  1 27.126215 24.270679  1.430166
1893  1  1 24.270288 27.125065  7.138653
102   1  1  2.854608 28.553525  2.855237
791   1  1 19.987531 25.698269 -0.000074
792   1  1 19.988314 25.698325  2.854343
1892  1  1 24.268635 27.123681  4.283149
1891  1  1 24.310834 27.166632  1.386980
1993  1  1 27.125810 27.125118  7.139019
1992  1  1 27.127051 27.123877  4.283614
882   1  1 22.842997 22.843264  2.854818
891   1  1 22.848307 25.704315  0.000328
892   1  1 22.858075 25.713336  2.839740
