,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect,reason
0,0,1,2,1493,288,7.016,0.644,1.0,0.55,2.82,0.859,0.8,0.568,2.629,18,1.397,0.403,0.364,0.478,1.318,11,3.298,1.217,1.164,1.046,3.11,11,1,DupAV
1,0,2,3,858,147,3.801,0.644,1.0,0.55,2.82,0.859,0.8,0.568,2.629,18,1.397,0.403,0.364,0.478,1.318,11,3.298,1.217,1.164,1.046,3.11,11,1,DupAV
2,0,3,4,1430,273,6.878,0.644,1.0,0.55,2.82,0.859,0.8,0.568,2.629,18,1.396,0.403,0.364,0.478,1.317,11,3.298,1.217,1.164,1.046,3.11,11,1,DupAV
3,0,4,5,1244,229,5.776,0.644,1.0,0.55,2.82,0.859,0.8,0.568,2.629,18,1.397,0.403,0.364,0.478,1.318,11,3.298,1.217,1.164,1.046,3.11,11,1,DupAV
