,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect
0,0,0,1,88,182,9.53,0.641,10.0,0.55,3.018,0.868,0.805,0.626,2.83,18,1.483,0.4,0.359,0.447,1.421,16,3.29,1.217,1.165,1.073,3.101,11,0,1
1,0,2,3,100,255,17.613,0.642,10.0,0.55,3.025,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.424,16,3.289,1.217,1.164,1.041,3.101,11,0,1
2,0,5,6,100,245,16.956,0.642,10.0,0.55,3.025,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.424,16,3.289,1.217,1.164,1.041,3.101,11,0,1
3,0,6,7,99,199,11.278,0.642,10.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,0,1
4,0,7,8,100,181,8.424,0.642,10.0,0.55,3.019,0.868,0.805,0.592,2.829,18,1.487,0.4,0.359,0.463,1.425,16,3.29,1.217,1.164,1.055,3.102,11,0,1
5,0,9,10,100,184,9.26,0.642,10.0,0.55,3.019,0.868,0.805,0.592,2.829,18,1.487,0.4,0.359,0.463,1.425,16,3.29,1.217,1.164,1.055,3.102,11,0,1
6,1,1,2,88,204,12.782,0.641,10.0,0.55,3.017,0.868,0.805,0.626,2.829,18,1.483,0.4,0.359,0.447,1.421,16,3.29,1.217,1.165,1.073,3.101,11,0,1
