,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect,reason
0,0,8,9,579,84,2.999,0.643,5.0,0.552,2.857,0.863,0.804,0.535,2.656,18,1.414,0.398,0.36,0.491,1.325,13,3.323,1.217,1.164,1.02,3.131,11,0,1,DupAV
1,0,9,10,1043,147,8.458,0.643,5.0,0.552,2.858,0.863,0.804,0.535,2.656,18,1.414,0.398,0.36,0.492,1.325,13,3.323,1.217,1.164,1.02,3.131,11,0,1,DupAV
2,0,6,7,2165,288,15.597,5.453,5.0,5.364,12.645,3.102,1.916,3.084,11.198,36,2.631,0.397,0.279,1.245,2.319,71,13.995,3.359,2.112,4.306,12.195,30,0,0,Conn
3,0,4,5,1561,208,13.21,0.647,5.0,0.002,3.86,1.588,1.539,1.286,3.697,8,2.799,0.85,0.79,1.016,2.622,18,4.446,2.352,2.329,2.3,4.278,7,0,0,Conn
4,0,3,4,1473,195,10.836,1.132,5.0,1.075,4.979,1.518,1.124,1.415,4.648,22,1.154,0.28,0.243,0.468,1.041,21,5.537,1.735,1.195,1.867,5.203,24,0,0,Conn
