istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,one_over_freq,mean_squared_disp,diffusion_coeff,time_step,simulation_time
0,-8020.230403,2,0.95,0.950455,0.95,1,5,4,2,0.646,0.553,0.093,1423483228.841034,1.472236,0.0,1449249144.693531,1449249144.693531
1,-8019.681603,2,0.924986,0.925896,0.474979,1,2,1,0,0.092,-0.546,0.638,1.823797,1.476368,0.134917,6.542249,1449249151.23578
