,dx,dy,dz
151,-0.001571,-0.000961,0.000915
152,-0.000100,0.000100,0.000091
153,-0.000420,0.000420,0.001829
154,-0.001571,0.000915,-0.000961
155,-0.000420,0.001829,0.000420
156,-0.000109,0.000905,0.000109
157,-0.000232,0.000532,-0.000212
158,-0.000109,0.000109,0.000905
159,0.002446,-0.002446,0.002952
160,-0.000232,-0.000212,0.000532
161,0.000961,0.001571,0.000915
162,0.002446,0.002952,-0.002446
163,0.000961,0.000915,0.001571
164,-0.000905,0.000109,0.000109
165,-0.000532,0.000232,-0.000212
166,-0.000532,-0.000212,0.000232
167,-0.000091,0.000100,0.000100
