,dx,dy,dz
0,0.461747,0.461747,0.461747
1,-0.022028,-0.022028,0.063678
2,-0.022028,0.063678,-0.022028
3,0.012694,-0.055068,-0.055068
4,0.063678,-0.022028,-0.022028
5,-0.055068,0.012694,-0.055068
6,-0.055068,-0.055068,0.012694
7,-0.011112,-0.011112,-0.011112
8,-0.045553,0.002467,0.002467
9,0.002467,-0.045553,0.002467
10,0.002467,0.002467,-0.045553
11,-0.002321,-0.002321,-0.001772
12,-0.002321,-0.001772,-0.002321
13,-0.001772,-0.002321,-0.002321
14,0.048764,0.048764,-0.036730
15,0.048764,-0.036730,0.048764
16,-0.008170,0.006401,0.001340
17,-0.008170,0.001341,0.006401
18,-0.036729,0.048764,0.048764
19,0.006401,-0.008170,0.001340
20,0.006401,0.001340,-0.008170
21,-0.009579,-0.013015,-0.013015
22,0.001341,-0.008170,0.006401
23,0.001340,0.006401,-0.008170
24,-0.013015,-0.009579,-0.013015
25,-0.013015,-0.013015,-0.009579
26,0.086895,0.086895,0.086895
27,-0.010802,-0.010802,0.011267
28,-0.010802,0.011267,-0.010802
29,0.008370,-0.010309,-0.010309
30,0.011267,-0.010802,-0.010802
31,-0.010309,0.008370,-0.010309
32,-0.010309,-0.010309,0.008370
33,-0.005191,-0.005190,-0.005191
34,-0.042642,0.006657,0.006657
35,-0.003913,-0.009514,0.003734
36,-0.003913,0.003734,-0.009514
37,-0.008262,0.004123,0.004123
38,0.006657,-0.042642,0.006657
39,-0.009514,-0.003913,0.003734
40,0.006657,0.006657,-0.042642
41,-0.002652,-0.002652,0.003931
42,-0.009514,0.003734,-0.003913
43,-0.000274,-0.003758,-0.005796
44,-0.002652,0.003931,-0.002652
45,-0.000274,-0.005796,-0.003758
46,0.003734,-0.003914,-0.009514
47,0.004123,-0.008262,0.004123
48,0.003734,-0.009514,-0.003913
49,-0.003758,-0.000274,-0.005796
50,0.004123,0.004123,-0.008262
51,-0.001630,-0.001630,-0.004294
52,-0.003758,-0.005796,-0.000274
53,-0.001630,-0.004294,-0.001630
54,0.003931,-0.002652,-0.002652
55,-0.005796,-0.000274,-0.003758
56,-0.005796,-0.003758,-0.000274
57,-0.004294,-0.001630,-0.001630
58,-0.009438,0.006354,0.006354
59,0.006354,-0.009438,0.006354
60,0.006354,0.006354,-0.009438
61,-0.000301,-0.000301,-0.001081
62,-0.000301,-0.001081,-0.000301
63,-0.001081,-0.000301,-0.000301
64,0.012278,0.012278,-0.002277
65,0.011751,0.011751,-0.014201
66,0.012278,-0.002277,0.012278
67,-0.001651,0.000344,0.001413
68,0.011751,-0.014201,0.011751
69,-0.001793,0.002524,0.001027
