,dx,dy,dz
0,0.011112,0.011112,0.011112
1,0.055068,0.055068,-0.012694
2,0.055068,-0.012694,0.055068
3,-0.063678,0.022028,0.022028
4,-0.012694,0.055068,0.055068
5,0.022028,-0.063678,0.022028
6,0.022028,0.022028,-0.063678
7,-0.461747,-0.461747,-0.461747
8,0.001772,0.002321,0.002321
9,0.002321,0.001772,0.002321
10,0.002321,0.002321,0.001772
11,-0.002467,-0.002467,0.045553
12,-0.002467,0.045553,-0.002467
13,0.045553,-0.002467,-0.002467
14,0.013015,0.013015,0.009579
15,0.013015,0.009579,0.013015
16,-0.001340,-0.006401,0.008170
17,-0.001341,0.008170,-0.006401
18,0.009579,0.013015,0.013015
19,-0.006401,-0.001340,0.008170
20,-0.006401,0.008170,-0.001340
21,0.036729,-0.048764,-0.048764
22,0.008170,-0.001341,-0.006401
23,0.008170,-0.006401,-0.001340
24,-0.048764,0.036730,-0.048764
25,-0.048764,-0.048764,0.036730
26,0.005191,0.005190,0.005191
27,0.010309,0.010309,-0.008370
28,0.010309,-0.008370,0.010309
29,-0.011267,0.010802,0.010802
30,-0.008370,0.010309,0.010309
31,0.010802,-0.011267,0.010802
32,0.010802,0.010802,-0.011267
33,-0.086895,-0.086895,-0.086895
34,0.004294,0.001630,0.001630
35,0.005796,0.003758,0.000274
36,0.005796,0.000274,0.003758
37,-0.003931,0.002652,0.002652
38,0.001630,0.004294,0.001630
39,0.003758,0.005796,0.000274
40,0.001630,0.001630,0.004294
41,-0.004123,-0.004123,0.008262
42,0.003758,0.000274,0.005796
43,-0.003734,0.009514,0.003913
44,-0.004123,0.008262,-0.004123
45,-0.003734,0.003914,0.009514
46,0.000274,0.005796,0.003758
47,0.002652,-0.003931,0.002652
48,0.000274,0.003758,0.005796
49,0.009514,-0.003734,0.003913
50,0.002652,0.002652,-0.003931
51,-0.006657,-0.006657,0.042642
52,0.009514,0.003913,-0.003734
53,-0.006657,0.042642,-0.006657
54,0.008262,-0.004123,-0.004123
55,0.003913,-0.003734,0.009514
56,0.003913,0.009514,-0.003734
57,0.042642,-0.006657,-0.006657
58,0.001081,0.000301,0.000301
59,0.000301,0.001081,0.000301
60,0.000301,0.000301,0.001081
61,-0.006354,-0.006354,0.009438
62,-0.006354,0.009438,-0.006354
63,0.009438,-0.006354,-0.006354
64,0.004319,0.004319,0.003719
65,0.002700,0.002700,-0.000557
66,0.004319,0.003719,0.004319
67,-0.001027,-0.002524,0.001793
68,0.002700,-0.000557,0.002700
69,-0.001413,-0.000344,0.001651
70,-0.001027,0.001793,-0.002524
71,-0.001413,0.001651,-0.000344
72,0.003719,0.004319,0.004319
73,-0.002524,-0.001027,0.001793
74,-0.002524,0.001793,-0.001027
75,0.014201,-0.011751,-0.011751
76,-0.000557,0.002700,0.002700
77,-0.000344,-0.001413,0.001651
78,-0.000344,0.001651,-0.001413
79,0.002277,-0.012278,-0.012278
80,0.001793,-0.001027,-0.002524
81,0.001651,-0.001413,-0.000344
82,0.001793,-0.002524,-0.001027
83,-0.011751,0.014201,-0.011751
84,0.001651,-0.000344,-0.001413
85,-0.012278,0.002277,-0.012278
86,-0.011751,-0.011751,0.014201
87,-0.012278,-0.012278,0.002277
88,0.002459,0.001809,0.000906
89,0.002459,0.000905,0.001809
90,0.000032,-0.000795,0.000625
91,0.000032,0.000625,-0.000795
92,0.001809,0.002459,0.000906
93,0.001809,0.000906,0.002459
94,-0.000888,0.000949,0.001805
95,-0.000888,0.001805,0.000949
96,0.000905,0.002459,0.001809
97,-0.000795,0.000032,0.000625
98,0.000906,0.001809,0.002459
99,0.000949,-0.000888,0.001805
100,-0.000795,0.000625,0.000032
101,-0.001668,0.003664,0.000878
102,0.000949,0.001805,-0.000888
103,-0.001668,0.000878,0.003664
104,0.000625,0.000032,-0.000795
105,0.000625,-0.000794,0.000032
106,0.003664,-0.001668,0.000878
107,0.003664,0.000878,-0.001668
108,0.001805,-0.000888,0.000949
109,0.001805,0.000949,-0.000888
110,0.000878,-0.001668,0.003664
111,0.000878,0.003664,-0.001668
112,0.001869,0.000926,0.000926
113,0.001575,0.001036,-0.001586
114,0.001575,-0.001586,0.001036
115,-0.001526,0.001413,0.001413
116,0.000926,0.001869,0.000926
117,0.001036,0.001575,-0.001586
118,0.000926,0.000926,0.001869
119,-0.001655,-0.001656,0.001392
120,0.001036,-0.001586,0.001575
121,-0.001309,0.004055,0.001281
122,-0.001655,0.001392,-0.001655
123,-0.001309,0.001281,0.004055
124,-0.001586,0.001575,0.001036
125,0.001413,-0.001526,0.001413
126,-0.001586,0.001036,0.001575
127,0.004055,-0.001309,0.001281
128,0.001413,0.001413,-0.001526
129,0.000772,0.000772,-0.005761
130,0.004055,0.001281,-0.001309
131,0.000772,-0.005761,0.000772
132,0.001392,-0.001655,-0.001655
133,0.001281,-0.001309,0.004055
