istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,time_step,simulation_time
0,0.0,2,0.929189,0.929189,0.929189,1,7,6,3,0.642,0.55,0.092,934.448825,934.448825
1,0.0,2,0.920136,0.479863,0.479863,1,2,1,0,0.091,-0.548,0.639,1.900936,936.349761
