Generated by pymatgen.io.lammps.data.LammpsData

1990  atoms

   1  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

1     0  1 28.510811 28.511231 28.514233
2     0  1  0.000121 28.552161  2.859637
3     0  1  0.000245  0.001955  5.709470
4     0  1 28.552984  0.002122  8.567809
5     0  1 28.551221 28.549951 11.417052
6     0  1 28.551963 28.551167 14.273959
7     0  1 28.552329 28.552360 17.130534
8     0  1 28.552004  0.001279 19.985592
9     0  1  0.000406  0.002902 22.841817
10    0  1 28.511216 28.512170 25.739415
11    0  1 28.552174  2.855904  0.003373
12    0  1 28.549794  2.853305  2.852645
13    0  1 28.549210  2.858628  5.707617
14    0  1 28.551356  2.857437  8.565984
15    0  1 28.551430  2.858358 11.423599
16    0  1  0.000484  2.854093 14.273045
17    0  1  0.000364  2.855006 17.132025
18    0  1 28.551065  2.858657 19.984135
19    0  1 28.549287  2.854828 22.847841
20    0  1 28.552329  2.856543 25.697512
21    0  1 28.552179  5.711742  0.001217
22    0  1 28.551224  5.711239  2.854943
23    0  1 28.550487  5.711115  5.708054
24    0  1 28.552592  5.711203  8.564721
25    0  1  0.001425  5.709431 11.420915
26    0  1 28.512067  5.751555 14.316886
27    0  1 28.511566  5.751416 17.089978
28    0  1  0.000265  5.708616 19.987546
29    0  1 28.550717  5.710604 22.845132
30    0  1 28.551884  5.711626 25.699203
31    0  1  0.002296  8.567019  0.001097
32    0  1 28.552039  8.567182  2.856053
33    0  1 28.551249  8.567018  5.709438
34    0  1  0.000175  8.566991  8.565029
35    0  1  0.002358  8.568708 11.420950
36    0  1 28.512814  8.526516 14.316757
37    0  1 28.512262  8.526359 17.089484
38    0  1  0.000790  8.568430 19.986266
39    0  1 28.550959  8.566876 22.844567
40    0  1 28.552030  8.566907 25.699272
41    0  1 28.551865 11.422014  0.001556
42    0  1 28.551942 11.421632  2.856484
43    0  1  0.000170 11.423429  5.712221
44    0  1  0.001033 11.422558  8.566700
45    0  1  0.001225 11.420658 11.423954
46    0  1  0.003297 11.424525 14.273200
47    0  1  0.003692 11.424728 17.129476
48    0  1 28.552265 11.418753 19.982425
49    0  1 28.550650 11.420990 22.843528
50    0  1 28.551456 11.421881 25.699639
51    0  1 28.550178 14.277107  0.003293
52    0  1 28.550370 14.275605  2.857324
53    0  1 28.551057 14.273838  5.710958
54    0  1 28.552146 14.275756  8.566542
55    0  1 28.552207 14.278131 11.419400
56    0  1  0.000173 14.278565 14.274070
57    0  1  0.001106 14.277827 17.128601
58    0  1 28.552174 14.275643 19.985591
59    0  1 28.549789 14.273211 22.844084
60    0  1 28.550363 14.275467 25.699546
61    0  1 28.551269 17.132823  0.003445
62    0  1 28.536625 17.146552  2.873151
63    0  1 28.548249 17.135142  5.712071
64    0  1 28.537676 17.144444  8.550829
65    0  1 28.548613 17.132275 11.418839
66    0  1 28.552704 17.132791 14.273847
67    0  1  0.001051 17.132024 17.129059
68    0  1 28.552514 17.131024 19.986367
69    0  1 28.551925 17.130720 22.842723
70    0  1 28.551784 17.131253 25.698880
71    0  1 28.551671 19.987178  0.003226
72    0  1 28.545750 19.990922  2.867193
73    0  1  0.044555 19.983861  5.707837
74    0  1 28.546733 19.985674  8.558948
75    0  1 28.551725 19.989303 11.415353
76    0  1  0.000158 19.986663 14.273979
77    0  1  0.001492 19.986410 17.129472
78    0  1 28.553117 19.987352 19.987222
79    0  1 28.552394 19.987343 22.843002
80    0  1 28.552359 19.986562 25.698477
81    0  1  0.000613 22.841247  0.003722
82    0  1 28.539295 22.827510  2.869362
83    0  1 28.506780 22.872038  5.755980
84    0  1 28.489413 22.864511  8.500572
85    0  1  0.001084 22.837228 11.417067
86    0  1  0.001410 22.839550 14.274845
87    0  1  0.002479 22.839204 17.128520
88    0  1  0.000240 22.842126 19.986725
89    0  1 28.552429 22.845683 22.845717
90    0  1  0.000867 22.842288 25.696775
91    0  1 28.511319 25.736876 28.514878
92    0  1  0.003397 25.697273  2.856930
93    0  1 28.511430 25.656921  5.753370
94    0  1 28.508853 25.655284  8.521856
95    0  1  0.000408 25.696349 11.417674
96    0  1 28.552956 25.695979 14.274775
97    0  1  0.000186 25.696438 17.130281
98    0  1  0.000023 25.697123 19.985654
99    0  1  0.001092 25.696293 22.842000
100   0  1 28.511183 25.738521 25.739493
101   0  1  2.853335 28.553002  0.003793
102   0  1  2.844504 28.545748  2.858801
103   0  1  2.849785 28.549485  5.710328
104   0  1  2.849479 28.550455  8.565463
105   0  1  2.846389 28.546594 11.414090
106   0  1  2.853001 28.551506 14.274362
107   0  1  2.854081 28.552573 17.130947
108   0  1  2.853130  0.000365 19.986925
109   0  1  2.850535  0.000273 22.845136
110   0  1  2.854034  0.001046 25.697038
111   0  1  2.850655  2.850571  0.001309
112   0  1  2.847357  2.848011  2.849967
