,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.306,1.000,0.004,0.985,0.506,0.590,0.087,1.767,0.969,1.392,0.107,1,16.706,0
1,0,0.307,1.000,0.003,0.985,0.506,0.632,0.093,1.767,0.969,1.332,0.102,1,16.466,0
2,0,0.307,1.000,0.003,0.985,0.506,0.640,0.094,1.767,0.969,1.284,0.098,1,16.466,0
3,0,0.306,1.000,0.002,0.984,0.506,0.521,0.078,1.766,0.969,1.241,0.097,1,16.706,1
4,0,0.306,1.000,0.002,0.984,0.506,0.533,0.080,1.766,0.969,1.192,0.093,1,16.706,0
