Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.443741 28.443741 28.443741
2     1  1 -0.005638 -0.005638  2.843915
3     1  1 28.551430 28.551430  5.708794
8     1  1  0.001019  0.001019 19.984833
9     1  1 -0.006048 -0.006048 22.844357
10    1  1 28.494737 28.494737 25.730875
11    1  1 -0.005638  2.843915 -0.005638
12    1  1 28.548672  2.844105  2.844105
19    1  1  0.002509  2.855284 22.840453
20    1  1 28.552527  2.853706 25.693782
21    1  1 28.551430  5.708794 28.551430
30    1  1 28.552475  5.710409 25.696872
71    1  1  0.001019 19.984833  0.001019
81    1  1 -0.006048 22.844357 -0.006048
82    1  1  0.002509 22.840453  2.855284
89    1  1 28.529678 22.868440 22.868440
90    1  1  0.001969 22.845982 25.690754
91    1  1 28.494737 25.730875 28.494737
92    1  1 28.552527 25.693782  2.853706
93    1  1 28.552475 25.696872  5.710409
99    1  1  0.001969 25.690754 22.845982
100   1  1  0.082949 25.692358 25.692358
101   1  1  2.843915 -0.005638 -0.005638
102   1  1  2.844105 28.548672  2.844105
109   1  1  2.855284  0.002509 22.840453
110   1  1  2.853706 28.552527 25.693782
111   1  1  2.844105  2.844105 28.548672
112   1  1  2.839890  2.839890  2.839890
119   1  1  2.847528  2.847528 22.848158
120   1  1  2.845910  2.845910 25.699630
181   1  1  2.855284 22.840453  0.002509
182   1  1  2.847528 22.848158  2.847528
189   1  1  2.857037 22.840744 22.840744
190   1  1  2.857451 22.840643 25.697928
191   1  1  2.853706 25.693782 28.552527
192   1  1  2.845910 25.699630  2.845910
199   1  1  2.857451 25.697928 22.840643
200   1  1  2.867637 25.689179 25.689179
201   1  1  5.708794 28.551430 28.551430
210   1  1  5.710409 28.552475 25.696872
291   1  1  5.710409 25.696872 28.552475
300   1  1  5.712078 25.696145 25.696145
701   1  1 19.984833  0.001019  0.001019
801   1  1 22.844357 -0.006048 -0.006048
802   1  1 22.840453  0.002509  2.855284
809   1  1 22.868440 28.529678 22.868440
810   1  1 22.845982  0.001969 25.690754
811   1  1 22.840453  2.855284  0.002509
812   1  1 22.848158  2.847528  2.847528
819   1  1 22.840744  2.857037 22.840744
820   1  1 22.840643  2.857451 25.697928
881   1  1 22.868440 22.868440 28.529678
882   1  1 22.840744 22.840744  2.857037
890   1  1 22.862533 22.862533 25.707799
891   1  1 22.845982 25.690754  0.001969
892   1  1 22.840643 25.697928  2.857451
899   1  1 22.862533 25.707799 22.862533
900   1  1 22.804515 25.700215 25.700215
901   1  1 25.730875 28.494737 28.494737
902   1  1 25.693782 28.552527  2.853706
903   1  1 25.696872 28.552475  5.710409
909   1  1 25.690754  0.001969 22.845982
910   1  1 25.692358  0.082949 25.692358
911   1  1 25.693782  2.853706 28.552527
912   1  1 25.699630  2.845910  2.845910
919   1  1 25.697928  2.857451 22.840643
920   1  1 25.689179  2.867637 25.689179
921   1  1 25.696872  5.710409 28.552475
930   1  1 25.696145  5.712078 25.696145
981   1  1 25.690754 22.845982  0.001969
982   1  1 25.697928 22.840643  2.857451
989   1  1 25.707799 22.862533 22.862533
990   1  1 25.700215 22.804515 25.700215
991   1  1 25.692358 25.692358  0.082949
992   1  1 25.689179 25.689179  2.867637
993   1  1 25.696145 25.696145  5.712078
999   1  1 25.700215 25.700215 22.804515
1000  1  1 26.626464 26.626464 26.626464
1001  1  1  1.392684  1.392684  1.392684
1002  1  1  1.421565  1.421565  4.275304
1008  1  1  1.424434  1.424434 21.416104
1009  1  1  1.408068  1.408068 24.283863
1010  1  1  1.405246  1.405246 27.123726
1011  1  1  1.421565  4.275304  1.421565
1019  1  1  1.426292  4.280757 24.270534
1020  1  1  1.422895  4.277953 27.124692
1071  1  1  1.424434 21.416104  1.424434
1079  1  1  1.427094 21.416366 24.267577
1080  1  1  1.426602 21.414983 27.124461
1081  1  1  1.408068 24.283863  1.408068
1082  1  1  1.426292 24.270534  4.280757
1088  1  1  1.427094 24.267577 21.416366
1089  1  1  1.436752 24.263004 24.263004
1090  1  1  1.430871 24.262390 27.134442
1091  1  1  1.405246 27.123726  1.405246
1092  1  1  1.422895 27.124692  4.277953
1098  1  1  1.426602 27.124461 21.414983
1099  1  1  1.430871 27.134442 24.262390
1100  1  1  1.466703 27.115937 27.115937
1101  1  1  4.275304  1.421565  1.421565
1109  1  1  4.280757  1.426292 24.270534
1110  1  1  4.277953  1.422895 27.124692
1120  1  1  4.277333  4.277333 27.125085
1181  1  1  4.280757 24.270534  1.426292
1189  1  1  4.287751 24.266029 24.266029
1190  1  1  4.284786 24.267452 27.126149
1191  1  1  4.277953 27.124692  1.422895
1192  1  1  4.277333 27.125085  4.277333
1199  1  1  4.284786 27.126149 24.267452
