,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
1,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
2,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
3,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,1
4,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
5,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
6,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
7,0,0.644,1.000,0.550,0.859,0.800,0.568,0.216,1.217,1.164,1.046,0.336,1,12.500,0
