,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect
31,0,31,32,156,42,0.646,0.646,10.0,0.552,3.263,0.865,0.805,0.605,3.041,18,1.566,0.398,0.358,0.448,1.492,12,3.581,1.215,1.163,1.012,3.371,11,0,1
32,0,32,33,153,41,0.646,0.646,10.0,0.553,3.24,0.864,0.805,0.611,3.009,18,1.592,0.397,0.358,0.462,1.514,13,3.451,1.214,1.163,0.948,3.244,11,0,1
33,0,33,34,167,44,0.651,0.649,10.0,0.562,3.93,0.883,0.818,1.239,3.682,19,1.936,0.392,0.347,0.211,1.848,19,3.884,1.218,1.165,1.376,3.645,11,0,1
34,0,34,35,156,42,0.645,0.644,10.0,0.552,3.614,0.869,0.808,0.644,3.358,18,1.748,0.396,0.356,0.556,1.657,13,3.743,1.215,1.163,1.03,3.512,10,0,1
35,0,35,36,167,44,0.657,0.655,10.0,0.568,3.958,0.884,0.819,1.097,3.708,18,1.912,0.394,0.35,0.241,1.825,17,3.898,1.222,1.168,1.321,3.662,11,0,1
36,0,36,37,171,45,0.687,0.648,10.0,0.56,4.136,0.881,0.814,0.849,3.883,18,2.048,0.396,0.351,0.425,1.956,20,3.93,1.218,1.165,1.192,3.691,11,0,1
37,0,38,39,161,43,0.643,0.641,10.0,0.548,3.868,0.868,0.804,0.8,3.61,18,1.883,0.402,0.361,0.401,1.793,16,3.907,1.218,1.165,1.144,3.668,11,0,1
38,0,39,40,164,43,0.645,0.642,10.0,0.552,4.054,0.872,0.807,1.134,3.793,18,2.016,0.399,0.357,0.298,1.918,16,3.901,1.217,1.164,1.283,3.667,11,0,1
39,0,40,41,162,43,0.641,0.639,10.0,0.547,4.077,0.868,0.803,0.374,3.8,18,1.989,0.403,0.361,0.681,1.89,16,3.957,1.217,1.164,0.88,3.713,11,0,1
40,0,41,42,161,43,0.643,0.642,10.0,0.549,3.853,0.868,0.805,0.431,3.588,18,1.904,0.4,0.359,0.649,1.8,14,3.865,1.217,1.164,0.946,3.628,11,0,1
41,0,44,45,150,40,0.644,0.642,10.0,0.55,3.944,0.871,0.806,0.646,3.695,18,1.952,0.402,0.359,0.467,1.864,18,3.859,1.218,1.165,1.094,3.628,11,0,1
42,0,45,46,161,43,0.646,0.645,10.0,0.552,3.715,0.865,0.804,0.334,3.45,18,1.717,0.399,0.359,0.604,1.626,14,3.83,1.214,1.163,0.769,3.593,11,0,1
43,0,46,47,161,43,0.646,0.644,10.0,0.552,3.816,0.87,0.806,0.529,3.559,18,1.878,0.4,0.358,0.478,1.787,15,3.781,1.217,1.165,0.971,3.55,11,0,1
44,0,47,48,160,43,0.644,0.643,10.0,0.551,3.829,0.87,0.806,0.826,3.577,18,1.878,0.399,0.357,0.343,1.793,16,3.828,1.217,1.164,1.142,3.595,11,0,1
45,0,48,49,165,44,0.646,0.644,10.0,0.552,4.006,0.872,0.807,0.811,3.748,18,1.996,0.401,0.358,0.402,1.905,16,3.845,1.218,1.165,1.123,3.614,11,0,1
46,0,49,50,156,42,0.644,0.644,10.0,0.551,3.402,0.865,0.804,0.392,3.166,18,1.685,0.399,0.359,0.58,1.594,14,3.588,1.215,1.163,0.959,3.372,10,0,1
47,0,50,51,161,43,0.645,0.643,10.0,0.551,3.62,0.869,0.806,0.985,3.379,18,1.783,0.399,0.358,0.351,1.7,13,3.725,1.217,1.164,1.285,3.501,11,0,1
48,0,51,52,164,44,0.644,0.643,10.0,0.551,3.576,0.868,0.806,0.929,3.339,18,1.742,0.399,0.358,0.317,1.663,13,3.725,1.216,1.164,1.222,3.497,11,0,1
49,0,52,53,157,42,0.644,0.642,10.0,0.551,3.857,0.871,0.806,0.535,3.617,18,1.918,0.4,0.358,0.519,1.834,16,3.744,1.216,1.164,1.038,3.524,11,0,1
50,0,53,54,172,45,0.684,0.639,10.0,0.546,4.035,0.87,0.805,0.791,3.759,18,2.017,0.412,0.37,0.507,1.911,17,3.977,1.228,1.175,1.196,3.729,11,0,1
51,0,54,55,186,46,0.667,0.613,10.0,0.529,4.209,0.864,0.793,0.921,3.937,18,2.11,0.407,0.361,0.315,2.009,17,4.014,1.207,1.154,1.221,3.763,11,0,1
52,0,55,56,166,44,0.643,0.641,10.0,0.55,4.125,0.872,0.807,1.143,3.864,18,2.038,0.401,0.358,0.246,1.944,17,3.972,1.218,1.165,1.316,3.73,11,0,1
53,0,56,57,161,43,0.636,0.635,10.0,0.542,3.601,0.865,0.802,0.887,3.362,18,1.757,0.403,0.363,0.417,1.674,13,3.803,1.217,1.165,1.23,3.578,12,0,1
54,0,57,58,161,43,0.645,0.644,10.0,0.551,3.914,0.866,0.803,0.263,3.642,18,1.854,0.4,0.36,0.784,1.755,14,3.879,1.215,1.163,0.605,3.642,11,0,1
55,0,59,60,158,42,0.645,0.644,10.0,0.552,3.603,0.865,0.804,0.3,3.342,18,1.747,0.398,0.359,0.671,1.649,13,3.681,1.214,1.163,0.811,3.454,11,0,1
56,0,60,61,149,40,0.645,0.644,10.0,0.551,3.438,0.866,0.805,0.496,3.195,18,1.72,0.399,0.359,0.53,1.629,14,3.63,1.216,1.164,0.983,3.409,11,0,1
57,0,61,62,157,42,0.645,0.644,10.0,0.552,3.595,0.865,0.804,0.391,3.34,18,1.792,0.399,0.359,0.706,1.695,13,3.645,1.214,1.163,0.821,3.421,10,0,1
